"epoch","transformer-2-w-sample-class-weighted - _step","transformer-2-w-sample-class-weighted - _step__MIN","transformer-2-w-sample-class-weighted - _step__MAX","transformer-2-w-sample-class-weighted - val/acc/bin","transformer-2-w-sample-class-weighted - val/acc/bin__MIN","transformer-2-w-sample-class-weighted - val/acc/bin__MAX","transformer-2-w-sample-class-raw - _step","transformer-2-w-sample-class-raw - _step__MIN","transformer-2-w-sample-class-raw - _step__MAX","transformer-2-w-sample-class-raw - val/acc/bin","transformer-2-w-sample-class-raw - val/acc/bin__MIN","transformer-2-w-sample-class-raw - val/acc/bin__MAX","transformer-2-w-class-raw - _step","transformer-2-w-class-raw - _step__MIN","transformer-2-w-class-raw - _step__MAX","transformer-2-w-class-raw - val/acc/bin","transformer-2-w-class-raw - val/acc/bin__MIN","transformer-2-w-class-raw - val/acc/bin__MAX","transformer-2-w-class-weighted - _step","transformer-2-w-class-weighted - _step__MIN","transformer-2-w-class-weighted - _step__MAX","transformer-2-w-class-weighted - val/acc/bin","transformer-2-w-class-weighted - val/acc/bin__MIN","transformer-2-w-class-weighted - val/acc/bin__MAX","transformer-2-w-sample-unnorm - _step","transformer-2-w-sample-unnorm - _step__MIN","transformer-2-w-sample-unnorm - _step__MAX","transformer-2-w-sample-unnorm - val/acc/bin","transformer-2-w-sample-unnorm - val/acc/bin__MIN","transformer-2-w-sample-unnorm - val/acc/bin__MAX","transformer-2-w-sample - _step","transformer-2-w-sample - _step__MIN","transformer-2-w-sample - _step__MAX","transformer-2-w-sample - val/acc/bin","transformer-2-w-sample - val/acc/bin__MIN","transformer-2-w-sample - val/acc/bin__MAX","transformer-2 - _step","transformer-2 - _step__MIN","transformer-2 - _step__MAX","transformer-2 - val/acc/bin","transformer-2 - val/acc/bin__MIN","transformer-2 - val/acc/bin__MAX"
"31","32","32","32","0.6432890892028809","0.6432890892028809","0.6432890892028809","32","32","32","0.6073284149169922","0.6073284149169922","0.6073284149169922","32","32","32","0.6585296988487244","0.6585296988487244","0.6585296988487244","32","32","32","0.6361651420593262","0.6361651420593262","0.6361651420593262","32","32","32","0.6229619383811951","0.6229619383811951","0.6229619383811951","32","32","32","0.6291087865829468","0.6291087865829468","0.6291087865829468","31","31","31","0.6376841068267822","0.6376841068267822","0.6376841068267822"
"32","33","33","33","0.6384270191192627","0.6384270191192627","0.6384270191192627","33","33","33","0.6088138818740845","0.6088138818740845","0.6088138818740845","33","33","33","0.6395090222358704","0.6395090222358704","0.6395090222358704","33","33","33","0.6329436302185059","0.6329436302185059","0.6329436302185059","33","33","33","0.627244234085083","0.627244234085083","0.627244234085083","33","33","33","0.603226900100708","0.603226900100708","0.603226900100708","32","32","32","0.6700740456581116","0.6700740456581116","0.6700740456581116"
"33","34","34","34","0.6432526707649231","0.6432526707649231","0.6432526707649231","34","34","34","0.6085628867149353","0.6085628867149353","0.6085628867149353","34","34","34","0.6383498311042786","0.6383498311042786","0.6383498311042786","34","34","34","0.6375077962875366","0.6375077962875366","0.6375077962875366","34","34","34","0.6620326638221741","0.6620326638221741","0.6620326638221741","34","34","34","0.6381840109825134","0.6381840109825134","0.6381840109825134","33","33","33","0.6481114625930786","0.6481114625930786","0.6481114625930786"
"34","35","35","35","0.6377822756767273","0.6377822756767273","0.6377822756767273","35","35","35","0.6085628867149353","0.6085628867149353","0.6085628867149353","35","35","35","0.6619004607200623","0.6619004607200623","0.6619004607200623","35","35","35","0.6368921399116516","0.6368921399116516","0.6368921399116516","35","35","35","0.6582419276237488","0.6582419276237488","0.6582419276237488","35","35","35","0.6191280484199524","0.6191280484199524","0.6191280484199524","34","34","34","0.649402916431427","0.649402916431427","0.649402916431427"
"35","36","36","36","0.6370396018028259","0.6370396018028259","0.6370396018028259","36","36","36","0.6085628867149353","0.6085628867149353","0.6085628867149353","36","36","36","0.6535900831222534","0.6535900831222534","0.6535900831222534","36","36","36","0.6353857517242432","0.6353857517242432","0.6353857517242432","36","36","36","0.6269233822822571","0.6269233822822571","0.6269233822822571","36","36","36","0.6553694009780884","0.6553694009780884","0.6553694009780884","35","35","35","0.666980504989624","0.666980504989624","0.666980504989624"
"36","37","37","37","0.6388038396835327","0.6388038396835327","0.6388038396835327","37","37","37","0.6102851033210754","0.6102851033210754","0.6102851033210754","37","37","37","0.6529784202575684","0.6529784202575684","0.6529784202575684","37","37","37","0.6373286843299866","0.6373286843299866","0.6373286843299866","37","37","37","0.6357211470603943","0.6357211470603943","0.6357211470603943","37","37","37","0.6005403399467468","0.6005403399467468","0.6005403399467468","36","36","36","0.6590171456336975","0.6590171456336975","0.6590171456336975"
"37","38","38","38","0.6409077048301697","0.6409077048301697","0.6409077048301697","38","38","38","0.6097908616065979","0.6097908616065979","0.6097908616065979","38","38","38","0.6450247168540955","0.6450247168540955","0.6450247168540955","38","38","38","0.6282959580421448","0.6282959580421448","0.6282959580421448","38","38","38","0.6409342288970947","0.6409342288970947","0.6409342288970947","38","38","38","0.6169764399528503","0.6169764399528503","0.6169764399528503","37","37","37","0.650474488735199","0.650474488735199","0.650474488735199"
"38","39","39","39","0.6381403207778931","0.6381403207778931","0.6381403207778931","39","39","39","0.6097908616065979","0.6097908616065979","0.6097908616065979","39","39","39","0.6510588526725769","0.6510588526725769","0.6510588526725769","39","39","39","0.6376516819000244","0.6376516819000244","0.6376516819000244","39","39","39","0.6337231993675232","0.6337231993675232","0.6337231993675232","39","39","39","0.631118655204773","0.631118655204773","0.631118655204773","38","38","38","0.6650282144546509","0.6650282144546509","0.6650282144546509"
"39","40","40","40","0.6362729072570801","0.6362729072570801","0.6362729072570801","40","40","40","0.6098513603210449","0.6098513603210449","0.6098513603210449","40","40","40","0.657482385635376","0.657482385635376","0.657482385635376","40","40","40","0.6376218795776367","0.6376218795776367","0.6376218795776367","40","40","40","0.6324863433837891","0.6324863433837891","0.6324863433837891","40","40","40","0.6584174633026123","0.6584174633026123","0.6584174633026123","39","39","39","0.6096038818359375","0.6096038818359375","0.6096038818359375"
"40","41","41","41","0.6279246211051941","0.6279246211051941","0.6279246211051941","41","41","41","0.6103456616401672","0.6103456616401672","0.6103456616401672","41","41","41","0.6630849838256836","0.6630849838256836","0.6630849838256836","41","41","41","0.6327585577964783","0.6327585577964783","0.6327585577964783","41","41","41","0.6520177721977234","0.6520177721977234","0.6520177721977234","41","41","41","0.6378793716430664","0.6378793716430664","0.6378793716430664","40","40","40","0.6503817439079285","0.6503817439079285","0.6503817439079285"
