"epoch","transformer-2-w-sample-class-weighted - _step","transformer-2-w-sample-class-weighted - _step__MIN","transformer-2-w-sample-class-weighted - _step__MAX","transformer-2-w-sample-class-weighted - val/f1","transformer-2-w-sample-class-weighted - val/f1__MIN","transformer-2-w-sample-class-weighted - val/f1__MAX","transformer-2-w-sample-class-raw - _step","transformer-2-w-sample-class-raw - _step__MIN","transformer-2-w-sample-class-raw - _step__MAX","transformer-2-w-sample-class-raw - val/f1","transformer-2-w-sample-class-raw - val/f1__MIN","transformer-2-w-sample-class-raw - val/f1__MAX","transformer-2-w-class-raw - _step","transformer-2-w-class-raw - _step__MIN","transformer-2-w-class-raw - _step__MAX","transformer-2-w-class-raw - val/f1","transformer-2-w-class-raw - val/f1__MIN","transformer-2-w-class-raw - val/f1__MAX","transformer-2-w-class-weighted - _step","transformer-2-w-class-weighted - _step__MIN","transformer-2-w-class-weighted - _step__MAX","transformer-2-w-class-weighted - val/f1","transformer-2-w-class-weighted - val/f1__MIN","transformer-2-w-class-weighted - val/f1__MAX","transformer-2-w-sample-unnorm - _step","transformer-2-w-sample-unnorm - _step__MIN","transformer-2-w-sample-unnorm - _step__MAX","transformer-2-w-sample-unnorm - val/f1","transformer-2-w-sample-unnorm - val/f1__MIN","transformer-2-w-sample-unnorm - val/f1__MAX","transformer-2-w-sample - _step","transformer-2-w-sample - _step__MIN","transformer-2-w-sample - _step__MAX","transformer-2-w-sample - val/f1","transformer-2-w-sample - val/f1__MIN","transformer-2-w-sample - val/f1__MAX","transformer-2 - _step","transformer-2 - _step__MIN","transformer-2 - _step__MAX","transformer-2 - val/f1","transformer-2 - val/f1__MIN","transformer-2 - val/f1__MAX"
"37","38","38","38","0.03282114118337631","0.03282114118337631","0.03282114118337631","38","38","38","0.16395863890647888","0.16395863890647888","0.16395863890647888","38","38","38","0.15448729693889618","0.15448729693889618","0.15448729693889618","38","38","38","0.03376297280192375","0.03376297280192375","0.03376297280192375","38","38","38","0.5817716717720032","0.5817716717720032","0.5817716717720032","38","38","38","0.5871207118034363","0.5871207118034363","0.5871207118034363","37","37","37","0.6250750422477722","0.6250750422477722","0.6250750422477722"
"38","39","39","39","0.0738893449306488","0.0738893449306488","0.0738893449306488","39","39","39","0.16395863890647888","0.16395863890647888","0.16395863890647888","39","39","39","0.201100155711174","0.201100155711174","0.201100155711174","39","39","39","0.06674683094024658","0.06674683094024658","0.06674683094024658","39","39","39","0.6063609719276428","0.6063609719276428","0.6063609719276428","39","39","39","0.6081200838088989","0.6081200838088989","0.6081200838088989","38","38","38","0.5913713574409485","0.5913713574409485","0.5913713574409485"
"39","40","40","40","0.05609706789255142","0.05609706789255142","0.05609706789255142","40","40","40","0.16419661045074463","0.16419661045074463","0.16419661045074463","40","40","40","0.2589816749095917","0.2589816749095917","0.2589816749095917","40","40","40","0.026427144184708595","0.026427144184708595","0.026427144184708595","40","40","40","0.5402563810348511","0.5402563810348511","0.5402563810348511","40","40","40","0.5668484568595886","0.5668484568595886","0.5668484568595886","39","39","39","0.5763642191886902","0.5763642191886902","0.5763642191886902"
"40","41","41","41","0.2377021610736847","0.2377021610736847","0.2377021610736847","41","41","41","0.16437062621116638","0.16437062621116638","0.16437062621116638","41","41","41","0.3258052468299866","0.3258052468299866","0.3258052468299866","41","41","41","0.07175728678703308","0.07175728678703308","0.07175728678703308","41","41","41","0.5856102705001831","0.5856102705001831","0.5856102705001831","41","41","41","0.6086764931678772","0.6086764931678772","0.6086764931678772","40","40","40","0.6268458962440491","0.6268458962440491","0.6268458962440491"
"41","42","42","42","0.15976816415786743","0.15976816415786743","0.15976816415786743","42","42","42","0.16419661045074463","0.16419661045074463","0.16419661045074463","42","42","42","0.384904146194458","0.384904146194458","0.384904146194458","42","42","42","0.07533986866474152","0.07533986866474152","0.07533986866474152","42","42","42","0.6016749739646912","0.6016749739646912","0.6016749739646912","42","42","42","0.589658796787262","0.589658796787262","0.589658796787262","41","41","41","0.6531193256378174","0.6531193256378174","0.6531193256378174"
"42","43","43","43","0.09039060771465302","0.09039060771465302","0.09039060771465302","43","43","43","0.16438381373882294","0.16438381373882294","0.16438381373882294","43","43","43","0.38336822390556335","0.38336822390556335","0.38336822390556335","43","43","43","0.04764024540781975","0.04764024540781975","0.04764024540781975","43","43","43","0.5996177792549133","0.5996177792549133","0.5996177792549133","43","43","43","0.5919138789176941","0.5919138789176941","0.5919138789176941","42","42","42","0.6119227409362793","0.6119227409362793","0.6119227409362793"
"43","44","44","44","0.03764214739203453","0.03764214739203453","0.03764214739203453","44","44","44","0.16455823183059692","0.16455823183059692","0.16455823183059692","44","44","44","0.2787821292877197","0.2787821292877197","0.2787821292877197","44","44","44","0.007234740536659956","0.007234740536659956","0.007234740536659956","44","44","44","0.583439826965332","0.583439826965332","0.583439826965332","44","44","44","0.5734577178955078","0.5734577178955078","0.5734577178955078","43","43","43","0.5980052947998047","0.5980052947998047","0.5980052947998047"
"44","45","45","45","0.07590123265981674","0.07590123265981674","0.07590123265981674","45","45","45","0.16438381373882294","0.16438381373882294","0.16438381373882294","45","45","45","0.330761581659317","0.330761581659317","0.330761581659317","45","45","45","0.06374380737543106","0.06374380737543106","0.06374380737543106","45","45","45","0.5699376463890076","0.5699376463890076","0.5699376463890076","45","45","45","0.5881858468055725","0.5881858468055725","0.5881858468055725","44","44","44","0.6089759469032288","0.6089759469032288","0.6089759469032288"
"45","46","46","46","0.07893691211938858","0.07893691211938858","0.07893691211938858","46","46","46","0.1635265052318573","0.1635265052318573","0.1635265052318573","46","46","46","0.24222467839717865","0.24222467839717865","0.24222467839717865","46","46","46","0.04012741148471832","0.04012741148471832","0.04012741148471832","46","46","46","0.5785724520683289","0.5785724520683289","0.5785724520683289","46","46","46","0.5971093773841858","0.5971093773841858","0.5971093773841858","45","45","45","0.6304625868797302","0.6304625868797302","0.6304625868797302"
"46","47","47","47","0.055888254195451736","0.055888254195451736","0.055888254195451736","47","47","47","0.1634620726108551","0.1634620726108551","0.1634620726108551","47","47","47","0.28113555908203125","0.28113555908203125","0.28113555908203125","47","47","47","0.032688207924366","0.032688207924366","0.032688207924366","47","47","47","0.59893798828125","0.59893798828125","0.59893798828125","47","47","47","0.587053656578064","0.587053656578064","0.587053656578064","46","46","46","0.6044063568115234","0.6044063568115234","0.6044063568115234"
