"epoch","transformer-2-w-sample-class-weighted - _step","transformer-2-w-sample-class-weighted - _step__MIN","transformer-2-w-sample-class-weighted - _step__MAX","transformer-2-w-sample-class-weighted - val/auc_w/ttH","transformer-2-w-sample-class-weighted - val/auc_w/ttH__MIN","transformer-2-w-sample-class-weighted - val/auc_w/ttH__MAX","transformer-2-w-sample-class-raw - _step","transformer-2-w-sample-class-raw - _step__MIN","transformer-2-w-sample-class-raw - _step__MAX","transformer-2-w-sample-class-raw - val/auc_w/ttH","transformer-2-w-sample-class-raw - val/auc_w/ttH__MIN","transformer-2-w-sample-class-raw - val/auc_w/ttH__MAX","transformer-2-w-class-raw - _step","transformer-2-w-class-raw - _step__MIN","transformer-2-w-class-raw - _step__MAX","transformer-2-w-class-raw - val/auc_w/ttH","transformer-2-w-class-raw - val/auc_w/ttH__MIN","transformer-2-w-class-raw - val/auc_w/ttH__MAX","transformer-2-w-class-weighted - _step","transformer-2-w-class-weighted - _step__MIN","transformer-2-w-class-weighted - _step__MAX","transformer-2-w-class-weighted - val/auc_w/ttH","transformer-2-w-class-weighted - val/auc_w/ttH__MIN","transformer-2-w-class-weighted - val/auc_w/ttH__MAX","transformer-2-w-sample-unnorm - _step","transformer-2-w-sample-unnorm - _step__MIN","transformer-2-w-sample-unnorm - _step__MAX","transformer-2-w-sample-unnorm - val/auc_w/ttH","transformer-2-w-sample-unnorm - val/auc_w/ttH__MIN","transformer-2-w-sample-unnorm - val/auc_w/ttH__MAX","transformer-2-w-sample - _step","transformer-2-w-sample - _step__MIN","transformer-2-w-sample - _step__MAX","transformer-2-w-sample - val/auc_w/ttH","transformer-2-w-sample - val/auc_w/ttH__MIN","transformer-2-w-sample - val/auc_w/ttH__MAX","transformer-2 - _step","transformer-2 - _step__MIN","transformer-2 - _step__MAX","transformer-2 - val/auc_w/ttH","transformer-2 - val/auc_w/ttH__MIN","transformer-2 - val/auc_w/ttH__MAX"
"31","32","32","32","0.6322557503554983","0.6322557503554983","0.6322557503554983","32","32","32","0.4789465308905131","0.4789465308905131","0.4789465308905131","32","32","32","0.7162211501432856","0.7162211501432856","0.7162211501432856","32","32","32","0.5969723336661878","0.5969723336661878","0.5969723336661878","32","32","32","0.7135862287114872","0.7135862287114872","0.7135862287114872","32","32","32","0.7295355496940571","0.7295355496940571","0.7295355496940571","31","31","31","0.7386576931134473","0.7386576931134473","0.7386576931134473"
"32","33","33","33","0.5807249379786001","0.5807249379786001","0.5807249379786001","33","33","33","0.4787996922680072","0.4787996922680072","0.4787996922680072","33","33","33","0.6980884167623431","0.6980884167623431","0.6980884167623431","33","33","33","0.5888904926771971","0.5888904926771971","0.5888904926771971","33","33","33","0.7294262299476433","0.7294262299476433","0.7294262299476433","33","33","33","0.7186872795738998","0.7186872795738998","0.7186872795738998","32","32","32","0.7626894607879648","0.7626894607879648","0.7626894607879648"
"33","34","34","34","0.6066361979258087","0.6066361979258087","0.6066361979258087","34","34","34","0.4788346501980981","0.4788346501980981","0.4788346501980981","34","34","34","0.7045169972331595","0.7045169972331595","0.7045169972331595","34","34","34","0.5888636406710599","0.5888636406710599","0.5888636406710599","34","34","34","0.7382396613040242","0.7382396613040242","0.7382396613040242","34","34","34","0.7283279202468111","0.7283279202468111","0.7283279202468111","33","33","33","0.7520638641444352","0.7520638641444352","0.7520638641444352"
"34","35","35","35","0.600370088212272","0.600370088212272","0.600370088212272","35","35","35","0.4788032754205368","0.4788032754205368","0.4788032754205368","35","35","35","0.7165297654925443","0.7165297654925443","0.7165297654925443","35","35","35","0.5852959112997098","0.5852959112997098","0.5852959112997098","35","35","35","0.7314997276174301","0.7314997276174301","0.7314997276174301","35","35","35","0.7048909704356094","0.7048909704356094","0.7048909704356094","34","34","34","0.7577196028909745","0.7577196028909745","0.7577196028909745"
"35","36","36","36","0.60470210811559","0.60470210811559","0.60470210811559","36","36","36","0.47872996241706295","0.47872996241706295","0.47872996241706295","36","36","36","0.7202284848929855","0.7202284848929855","0.7202284848929855","36","36","36","0.5814054430751272","0.5814054430751272","0.5814054430751272","36","36","36","0.7018975846597862","0.7018975846597862","0.7018975846597862","36","36","36","0.7265985600085121","0.7265985600085121","0.7265985600085121","35","35","35","0.7612358082028919","0.7612358082028919","0.7612358082028919"
"36","37","37","37","0.6076885622769443","0.6076885622769443","0.6076885622769443","37","37","37","0.47871109632228737","0.47871109632228737","0.47871109632228737","37","37","37","0.6942288260354936","0.6942288260354936","0.6942288260354936","37","37","37","0.5945383558242521","0.5945383558242521","0.5945383558242521","37","37","37","0.715945740313291","0.715945740313291","0.715945740313291","37","37","37","0.7002858877549173","0.7002858877549173","0.7002858877549173","36","36","36","0.7509513523313379","0.7509513523313379","0.7509513523313379"
"37","38","38","38","0.6004307680306228","0.6004307680306228","0.6004307680306228","38","38","38","0.4784246905406564","0.4784246905406564","0.4784246905406564","38","38","38","0.6958136883671231","0.6958136883671231","0.6958136883671231","38","38","38","0.5737461859530596","0.5737461859530596","0.5737461859530596","38","38","38","0.7056919768263825","0.7056919768263825","0.7056919768263825","38","38","38","0.7151622913798432","0.7151622913798432","0.7151622913798432","37","37","37","0.7389171157262072","0.7389171157262072","0.7389171157262072"
"38","39","39","39","0.6248695625782679","0.6248695625782679","0.6248695625782679","39","39","39","0.4789520222154222","0.4789520222154222","0.4789520222154222","39","39","39","0.7009591279286866","0.7009591279286866","0.7009591279286866","39","39","39","0.5783766007592177","0.5783766007592177","0.5783766007592177","39","39","39","0.7087614767714543","0.7087614767714543","0.7087614767714543","39","39","39","0.7291706932170264","0.7291706932170264","0.7291706932170264","38","38","38","0.754940066837875","0.754940066837875","0.754940066837875"
"39","40","40","40","0.6011761187743824","0.6011761187743824","0.6011761187743824","40","40","40","0.47904077078024404","0.47904077078024404","0.47904077078024404","40","40","40","0.7296075319674675","0.7296075319674675","0.7296075319674675","40","40","40","0.5879806245421397","0.5879806245421397","0.5879806245421397","40","40","40","0.7114012759846519","0.7114012759846519","0.7114012759846519","40","40","40","0.7278448645227129","0.7278448645227129","0.7278448645227129","39","39","39","0.7359444290974326","0.7359444290974326","0.7359444290974326"
"40","41","41","41","0.6167128568676272","0.6167128568676272","0.6167128568676272","41","41","41","0.47875062107858374","0.47875062107858374","0.47875062107858374","41","41","41","0.7333529464889629","0.7333529464889629","0.7333529464889629","41","41","41","0.5687769618593309","0.5687769618593309","0.5687769618593309","41","41","41","0.7263788008775863","0.7263788008775863","0.7263788008775863","41","41","41","0.7296941808209748","0.7296941808209748","0.7296941808209748","40","40","40","0.742446308826819","0.742446308826819","0.742446308826819"
"41","42","42","42","0.6020239299519861","0.6020239299519861","0.6020239299519861","42","42","42","0.4790733558066542","0.4790733558066542","0.4790733558066542","42","42","42","0.7217506367248179","0.7217506367248179","0.7217506367248179","42","42","42","0.5846456303296346","0.5846456303296346","0.5846456303296346","42","42","42","0.7241576731809862","0.7241576731809862","0.7241576731809862","42","42","42","0.7155007584562978","0.7155007584562978","0.7155007584562978","41","41","41","0.7650025576530513","0.7650025576530513","0.7650025576530513"
"42","43","43","43","0.5955801508508803","0.5955801508508803","0.5955801508508803","43","43","43","0.47887757350461235","0.47887757350461235","0.47887757350461235","43","43","43","0.7311469902285955","0.7311469902285955","0.7311469902285955","43","43","43","0.5763627554616514","0.5763627554616514","0.5763627554616514","43","43","43","0.724607347846955","0.724607347846955","0.724607347846955","43","43","43","0.7333562724735467","0.7333562724735467","0.7333562724735467","42","42","42","0.758476694717115","0.758476694717115","0.758476694717115"
"43","44","44","44","0.5970703447499647","0.5970703447499647","0.5970703447499647","44","44","44","0.4788398497058716","0.4788398497058716","0.4788398497058716","44","44","44","0.7225356851841697","0.7225356851841697","0.7225356851841697","44","44","44","0.5833384801714159","0.5833384801714159","0.5833384801714159","44","44","44","0.6903269884098842","0.6903269884098842","0.6903269884098842","44","44","44","0.7020714008619916","0.7020714008619916","0.7020714008619916","43","43","43","0.7168610548087767","0.7168610548087767","0.7168610548087767"
