"Step","transformer-2-(bin) - sig/significance","transformer-2-(bin) - sig/significance__MIN","transformer-2-(bin) - sig/significance__MAX","transformer-2 - sig/significance","transformer-2 - sig/significance__MIN","transformer-2 - sig/significance__MAX"
"94","2.026453971862793","2.026453971862793","2.026453971862793","2.171633243560791","2.171633243560791","2.171633243560791"
"95","2.0249156951904297","2.0249156951904297","2.0249156951904297","2.172518491744995","2.172518491744995","2.172518491744995"
"96","2.0264804363250732","2.0264804363250732","2.0264804363250732","2.1706156730651855","2.1706156730651855","2.1706156730651855"
"97","2.029608726501465","2.029608726501465","2.029608726501465","2.17551326751709","2.17551326751709","2.17551326751709"
"98","2.031360387802124","2.031360387802124","2.031360387802124","2.177927255630493","2.177927255630493","2.177927255630493"
"99","2.029540538787842","2.029540538787842","2.029540538787842","2.1805520057678223","2.1805520057678223","2.1805520057678223"
"100","2.0281991958618164","2.0281991958618164","2.0281991958618164","2.185861825942993","2.185861825942993","2.185861825942993"
"101","2.030261516571045","2.030261516571045","2.030261516571045","2.183228015899658","2.183228015899658","2.183228015899658"
"102","2.031464099884033","2.031464099884033","2.031464099884033","2.1853883266448975","2.1853883266448975","2.1853883266448975"
"103","2.032843589782715","2.032843589782715","2.032843589782715","2.186284065246582","2.186284065246582","2.186284065246582"
"104","2.0347917079925537","2.0347917079925537","2.0347917079925537","2.1925160884857178","2.1925160884857178","2.1925160884857178"
"105","2.036118984222412","2.036118984222412","2.036118984222412","2.183321714401245","2.183321714401245","2.183321714401245"
"106","2.0383286476135254","2.0383286476135254","2.0383286476135254","2.193740129470825","2.193740129470825","2.193740129470825"
"107","2.0422184467315674","2.0422184467315674","2.0422184467315674","2.1914315223693848","2.1914315223693848","2.1914315223693848"
"108","2.0401453971862793","2.0401453971862793","2.0401453971862793","2.18355393409729","2.18355393409729","2.18355393409729"
"109","2.042762279510498","2.042762279510498","2.042762279510498","2.188905954360962","2.188905954360962","2.188905954360962"
"110","2.0417678356170654","2.0417678356170654","2.0417678356170654","2.185760259628296","2.185760259628296","2.185760259628296"
"111","2.0353691577911377","2.0353691577911377","2.0353691577911377","2.184391975402832","2.184391975402832","2.184391975402832"
