"epoch","transformer-2-no-w-nan - _step","transformer-2-no-w-nan - _step__MIN","transformer-2-no-w-nan - _step__MAX","transformer-2-no-w-nan - val/auc_w/ttH","transformer-2-no-w-nan - val/auc_w/ttH__MIN","transformer-2-no-w-nan - val/auc_w/ttH__MAX","transformer-2 - _step","transformer-2 - _step__MIN","transformer-2 - _step__MAX","transformer-2 - val/auc_w/ttH","transformer-2 - val/auc_w/ttH__MIN","transformer-2 - val/auc_w/ttH__MAX"
"90","91","91","91","0.6850338638892182","0.6850338638892182","0.6850338638892182","90","90","90","0.7008068142804464","0.7008068142804464","0.7008068142804464"
"91","92","92","92","0.6879480369081781","0.6879480369081781","0.6879480369081781","91","91","91","0.6927653245602302","0.6927653245602302","0.6927653245602302"
"92","93","93","93","0.6901730423398945","0.6901730423398945","0.6901730423398945","92","92","92","0.7052556031666424","0.7052556031666424","0.7052556031666424"
"93","94","94","94","0.6841881885599297","0.6841881885599297","0.6841881885599297","93","93","93","0.6951784803454085","0.6951784803454085","0.6951784803454085"
"94","95","95","95","0.6981829968639646","0.6981829968639646","0.6981829968639646","94","94","94","0.6973582718959027","0.6973582718959027","0.6973582718959027"
"95","96","96","96","0.7007344683160966","0.7007344683160966","0.7007344683160966","95","95","95","0.7024581553437974","0.7024581553437974","0.7024581553437974"
"96","97","97","97","0.6834551474708753","0.6834551474708753","0.6834551474708753","96","96","96","0.6936493312939649","0.6936493312939649","0.6936493312939649"
"97","98","98","98","0.6975800550586934","0.6975800550586934","0.6975800550586934","97","97","97","0.6822076430261641","0.6822076430261641","0.6822076430261641"
"98","99","99","99","0.6959616230456689","0.6959616230456689","0.6959616230456689","98","98","98","0.6842929423239138","0.6842929423239138","0.6842929423239138"
"99","100","100","100","0.6876352518793795","0.6876352518793795","0.6876352518793795","99","99","99","0.6742070438928826","0.6742070438928826","0.6742070438928826"
"100","101","101","101","0.6947782946739959","0.6947782946739959","0.6947782946739959","100","100","100","0.6941848133158594","0.6941848133158594","0.6941848133158594"
