"Step","resnet-8 - sig/significance","resnet-8 - sig/significance__MIN","resnet-8 - sig/significance__MAX","resnet-8-embed-nan-w - sig/significance","resnet-8-embed-nan-w - sig/significance__MIN","resnet-8-embed-nan-w - sig/significance__MAX","resnet-8-embed - sig/significance","resnet-8-embed - sig/significance__MIN","resnet-8-embed - sig/significance__MAX","resnet-8-nan-w - sig/significance","resnet-8-nan-w - sig/significance__MIN","resnet-8-nan-w - sig/significance__MAX"
"31","2.2584478855133057","2.2584478855133057","2.2584478855133057","2.2107579708099365","2.2107579708099365","2.2107579708099365","2.172755241394043","2.172755241394043","2.172755241394043","2.2069547176361084","2.2069547176361084","2.2069547176361084"
"32","2.231818199157715","2.231818199157715","2.231818199157715","2.16400146484375","2.16400146484375","2.16400146484375","2.213003396987915","2.213003396987915","2.213003396987915","2.2688496112823486","2.2688496112823486","2.2688496112823486"
"33","2.1897222995758057","2.1897222995758057","2.1897222995758057","2.177248954772949","2.177248954772949","2.177248954772949","2.1799073219299316","2.1799073219299316","2.1799073219299316","2.208603858947754","2.208603858947754","2.208603858947754"
"34","2.2312684059143066","2.2312684059143066","2.2312684059143066","2.1742208003997803","2.1742208003997803","2.1742208003997803","2.235682725906372","2.235682725906372","2.235682725906372","2.202009677886963","2.202009677886963","2.202009677886963"
"35","2.2841601371765137","2.2841601371765137","2.2841601371765137","2.1955504417419434","2.1955504417419434","2.1955504417419434","2.2165989875793457","2.2165989875793457","2.2165989875793457","2.2373249530792236","2.2373249530792236","2.2373249530792236"
"36","2.290987491607666","2.290987491607666","2.290987491607666","2.199155569076538","2.199155569076538","2.199155569076538","2.253788471221924","2.253788471221924","2.253788471221924","2.1875193119049072","2.1875193119049072","2.1875193119049072"
"37","2.250920295715332","2.250920295715332","2.250920295715332","2.1716718673706055","2.1716718673706055","2.1716718673706055","2.236186981201172","2.236186981201172","2.236186981201172","2.230456590652466","2.230456590652466","2.230456590652466"
"38","2.2381651401519775","2.2381651401519775","2.2381651401519775","2.158778190612793","2.158778190612793","2.158778190612793","2.2399230003356934","2.2399230003356934","2.2399230003356934","2.2333216667175293","2.2333216667175293","2.2333216667175293"
"39","2.2109129428863525","2.2109129428863525","2.2109129428863525","2.1670966148376465","2.1670966148376465","2.1670966148376465","2.2427947521209717","2.2427947521209717","2.2427947521209717","2.228269577026367","2.228269577026367","2.228269577026367"
"40","2.265632152557373","2.265632152557373","2.265632152557373","2.162626028060913","2.162626028060913","2.162626028060913","2.222959041595459","2.222959041595459","2.222959041595459","2.2224581241607666","2.2224581241607666","2.2224581241607666"
"41","2.2842459678649902","2.2842459678649902","2.2842459678649902","2.185481548309326","2.185481548309326","2.185481548309326","2.2226269245147705","2.2226269245147705","2.2226269245147705","2.190030336380005","2.190030336380005","2.190030336380005"
"42","2.229658365249634","2.229658365249634","2.229658365249634","2.1478307247161865","2.1478307247161865","2.1478307247161865","2.22855281829834","2.22855281829834","2.22855281829834","2.1738686561584473","2.1738686561584473","2.1738686561584473"
"43","2.182840585708618","2.182840585708618","2.182840585708618","2.219374895095825","2.219374895095825","2.219374895095825","2.1665923595428467","2.1665923595428467","2.1665923595428467","2.236356258392334","2.236356258392334","2.236356258392334"
"44","2.2414779663085938","2.2414779663085938","2.2414779663085938","2.1645476818084717","2.1645476818084717","2.1645476818084717","2.232053518295288","2.232053518295288","2.232053518295288","2.2109296321868896","2.2109296321868896","2.2109296321868896"
"45","2.211902141571045","2.211902141571045","2.211902141571045","2.2004199028015137","2.2004199028015137","2.2004199028015137","2.1995108127593994","2.1995108127593994","2.1995108127593994","2.257416248321533","2.257416248321533","2.257416248321533"
"46","2.1870059967041016","2.1870059967041016","2.1870059967041016","2.1687588691711426","2.1687588691711426","2.1687588691711426","2.191089630126953","2.191089630126953","2.191089630126953","2.227308511734009","2.227308511734009","2.227308511734009"
"47","2.22981595993042","2.22981595993042","2.22981595993042","2.2069289684295654","2.2069289684295654","2.2069289684295654","2.154540538787842","2.154540538787842","2.154540538787842","2.1900622844696045","2.1900622844696045","2.1900622844696045"
"48","2.227597236633301","2.227597236633301","2.227597236633301","2.197564125061035","2.197564125061035","2.197564125061035","2.2413902282714844","2.2413902282714844","2.2413902282714844","2.2153944969177246","2.2153944969177246","2.2153944969177246"
"49","2.2247631549835205","2.2247631549835205","2.2247631549835205","2.2053427696228027","2.2053427696228027","2.2053427696228027","2.173884153366089","2.173884153366089","2.173884153366089","2.2190170288085938","2.2190170288085938","2.2190170288085938"
"50","2.1977617740631104","2.1977617740631104","2.1977617740631104","2.1625189781188965","2.1625189781188965","2.1625189781188965","2.22426176071167","2.22426176071167","2.22426176071167","2.170902967453003","2.170902967453003","2.170902967453003"
"51","2.1859240531921387","2.1859240531921387","2.1859240531921387","2.1630892753601074","2.1630892753601074","2.1630892753601074","2.222573757171631","2.222573757171631","2.222573757171631","2.1761364936828613","2.1761364936828613","2.1761364936828613"
"52","2.2170000076293945","2.2170000076293945","2.2170000076293945","2.1726431846618652","2.1726431846618652","2.1726431846618652","2.1818490028381348","2.1818490028381348","2.1818490028381348","2.2201149463653564","2.2201149463653564","2.2201149463653564"
"53","2.192542791366577","2.192542791366577","2.192542791366577","2.1830270290374756","2.1830270290374756","2.1830270290374756","2.193997383117676","2.193997383117676","2.193997383117676","2.185244083404541","2.185244083404541","2.185244083404541"
"54","2.2064449787139893","2.2064449787139893","2.2064449787139893","2.171689987182617","2.171689987182617","2.171689987182617","2.217940092086792","2.217940092086792","2.217940092086792","2.2442514896392822","2.2442514896392822","2.2442514896392822"
"55","2.2171790599823","2.2171790599823","2.2171790599823","2.1746010780334473","2.1746010780334473","2.1746010780334473","2.170980453491211","2.170980453491211","2.170980453491211","2.2139806747436523","2.2139806747436523","2.2139806747436523"
"56","2.201930284500122","2.201930284500122","2.201930284500122","2.2028002738952637","2.2028002738952637","2.2028002738952637","2.178161859512329","2.178161859512329","2.178161859512329","2.173919439315796","2.173919439315796","2.173919439315796"
"57","2.1646010875701904","2.1646010875701904","2.1646010875701904","2.1693036556243896","2.1693036556243896","2.1693036556243896","2.1643869876861572","2.1643869876861572","2.1643869876861572","2.1906821727752686","2.1906821727752686","2.1906821727752686"
"58","2.1865813732147217","2.1865813732147217","2.1865813732147217","2.1915411949157715","2.1915411949157715","2.1915411949157715","2.191012144088745","2.191012144088745","2.191012144088745","2.186922311782837","2.186922311782837","2.186922311782837"
"59","2.2050130367279053","2.2050130367279053","2.2050130367279053","2.1576390266418457","2.1576390266418457","2.1576390266418457","2.2025861740112305","2.2025861740112305","2.2025861740112305","2.189755916595459","2.189755916595459","2.189755916595459"
"60","2.1782898902893066","2.1782898902893066","2.1782898902893066","2.1636877059936523","2.1636877059936523","2.1636877059936523","2.1915979385375977","2.1915979385375977","2.1915979385375977","2.1956610679626465","2.1956610679626465","2.1956610679626465"
"61","2.1929750442504883","2.1929750442504883","2.1929750442504883","2.1435420513153076","2.1435420513153076","2.1435420513153076","2.1731653213500977","2.1731653213500977","2.1731653213500977","2.161379098892212","2.161379098892212","2.161379098892212"
"62","2.202324628829956","2.202324628829956","2.202324628829956","2.1587541103363037","2.1587541103363037","2.1587541103363037","2.164544105529785","2.164544105529785","2.164544105529785","2.206271171569824","2.206271171569824","2.206271171569824"
"63","2.1737375259399414","2.1737375259399414","2.1737375259399414","2.167731761932373","2.167731761932373","2.167731761932373","2.2102317810058594","2.2102317810058594","2.2102317810058594","2.1796703338623047","2.1796703338623047","2.1796703338623047"
"64","2.1900362968444824","2.1900362968444824","2.1900362968444824","2.1497724056243896","2.1497724056243896","2.1497724056243896","2.1705949306488037","2.1705949306488037","2.1705949306488037","2.168006420135498","2.168006420135498","2.168006420135498"
"65","2.154073476791382","2.154073476791382","2.154073476791382","2.1529932022094727","2.1529932022094727","2.1529932022094727","2.1498072147369385","2.1498072147369385","2.1498072147369385","2.1609323024749756","2.1609323024749756","2.1609323024749756"
"66","2.1792922019958496","2.1792922019958496","2.1792922019958496","2.1468212604522705","2.1468212604522705","2.1468212604522705","2.219374179840088","2.219374179840088","2.219374179840088","2.153987407684326","2.153987407684326","2.153987407684326"
"67","2.1940393447875977","2.1940393447875977","2.1940393447875977","2.163065195083618","2.163065195083618","2.163065195083618","2.1555662155151367","2.1555662155151367","2.1555662155151367","2.1605517864227295","2.1605517864227295","2.1605517864227295"
"68","2.199498176574707","2.199498176574707","2.199498176574707","2.14469838142395","2.14469838142395","2.14469838142395","2.144801616668701","2.144801616668701","2.144801616668701","2.151548385620117","2.151548385620117","2.151548385620117"
"69","2.18147349357605","2.18147349357605","2.18147349357605","2.143979072570801","2.143979072570801","2.143979072570801","2.181675910949707","2.181675910949707","2.181675910949707","2.145954132080078","2.145954132080078","2.145954132080078"
"70","2.185293197631836","2.185293197631836","2.185293197631836","2.1491732597351074","2.1491732597351074","2.1491732597351074","2.136638879776001","2.136638879776001","2.136638879776001","2.1457183361053467","2.1457183361053467","2.1457183361053467"
"71","2.1896326541900635","2.1896326541900635","2.1896326541900635","2.1494717597961426","2.1494717597961426","2.1494717597961426","2.14910888671875","2.14910888671875","2.14910888671875","2.1634793281555176","2.1634793281555176","2.1634793281555176"
"72","2.2065634727478027","2.2065634727478027","2.2065634727478027","2.1419360637664795","2.1419360637664795","2.1419360637664795","2.1581342220306396","2.1581342220306396","2.1581342220306396","2.16109561920166","2.16109561920166","2.16109561920166"
"73","2.1960978507995605","2.1960978507995605","2.1960978507995605","2.140896797180176","2.140896797180176","2.140896797180176","2.156590700149536","2.156590700149536","2.156590700149536","2.1648383140563965","2.1648383140563965","2.1648383140563965"
"74","2.2072033882141113","2.2072033882141113","2.2072033882141113","2.123204469680786","2.123204469680786","2.123204469680786","2.168931007385254","2.168931007385254","2.168931007385254","2.127305030822754","2.127305030822754","2.127305030822754"
"75","2.189253091812134","2.189253091812134","2.189253091812134","2.1255416870117188","2.1255416870117188","2.1255416870117188","2.147609233856201","2.147609233856201","2.147609233856201","2.16145920753479","2.16145920753479","2.16145920753479"
"76","2.1631107330322266","2.1631107330322266","2.1631107330322266","2.1325128078460693","2.1325128078460693","2.1325128078460693","2.148212432861328","2.148212432861328","2.148212432861328","2.164471387863159","2.164471387863159","2.164471387863159"
"77","2.182511568069458","2.182511568069458","2.182511568069458","2.1426775455474854","2.1426775455474854","2.1426775455474854","2.1523680686950684","2.1523680686950684","2.1523680686950684","2.123727798461914","2.123727798461914","2.123727798461914"
"78","2.1707630157470703","2.1707630157470703","2.1707630157470703","2.1711204051971436","2.1711204051971436","2.1711204051971436","2.165498733520508","2.165498733520508","2.165498733520508","2.1417410373687744","2.1417410373687744","2.1417410373687744"
"79","2.1548452377319336","2.1548452377319336","2.1548452377319336","2.1385841369628906","2.1385841369628906","2.1385841369628906","2.1397271156311035","2.1397271156311035","2.1397271156311035","2.1396803855895996","2.1396803855895996","2.1396803855895996"
"80","2.1636886596679688","2.1636886596679688","2.1636886596679688","2.141277551651001","2.141277551651001","2.141277551651001","2.1271064281463623","2.1271064281463623","2.1271064281463623","2.1525766849517822","2.1525766849517822","2.1525766849517822"
"81","2.1649668216705322","2.1649668216705322","2.1649668216705322","2.1368532180786133","2.1368532180786133","2.1368532180786133","2.1440606117248535","2.1440606117248535","2.1440606117248535","2.12713885307312","2.12713885307312","2.12713885307312"
"82","2.183534622192383","2.183534622192383","2.183534622192383","2.1291654109954834","2.1291654109954834","2.1291654109954834","2.155219793319702","2.155219793319702","2.155219793319702","2.1401519775390625","2.1401519775390625","2.1401519775390625"
"83","2.167247772216797","2.167247772216797","2.167247772216797","2.1325836181640625","2.1325836181640625","2.1325836181640625","2.133253574371338","2.133253574371338","2.133253574371338","2.131657123565674","2.131657123565674","2.131657123565674"
"84","2.1746342182159424","2.1746342182159424","2.1746342182159424","2.1386749744415283","2.1386749744415283","2.1386749744415283","2.129983425140381","2.129983425140381","2.129983425140381","2.1346070766448975","2.1346070766448975","2.1346070766448975"
"85","2.1691606044769287","2.1691606044769287","2.1691606044769287","2.1212050914764404","2.1212050914764404","2.1212050914764404","2.140819787979126","2.140819787979126","2.140819787979126","2.127619504928589","2.127619504928589","2.127619504928589"
"86","2.1492204666137695","2.1492204666137695","2.1492204666137695","2.146789073944092","2.146789073944092","2.146789073944092","2.138519287109375","2.138519287109375","2.138519287109375","2.156717300415039","2.156717300415039","2.156717300415039"
"87","2.1488423347473145","2.1488423347473145","2.1488423347473145","2.130074977874756","2.130074977874756","2.130074977874756","2.1182188987731934","2.1182188987731934","2.1182188987731934","2.18345046043396","2.18345046043396","2.18345046043396"
"88","2.1593503952026367","2.1593503952026367","2.1593503952026367","2.0969455242156982","2.0969455242156982","2.0969455242156982","2.1243045330047607","2.1243045330047607","2.1243045330047607","2.1419224739074707","2.1419224739074707","2.1419224739074707"
"89","2.1483402252197266","2.1483402252197266","2.1483402252197266","2.0929884910583496","2.0929884910583496","2.0929884910583496","2.1405861377716064","2.1405861377716064","2.1405861377716064","2.146817922592163","2.146817922592163","2.146817922592163"
"90","2.1498827934265137","2.1498827934265137","2.1498827934265137","2.1064653396606445","2.1064653396606445","2.1064653396606445","2.1296446323394775","2.1296446323394775","2.1296446323394775","2.1488723754882812","2.1488723754882812","2.1488723754882812"
"91","2.156998634338379","2.156998634338379","2.156998634338379","2.12886381149292","2.12886381149292","2.12886381149292","2.1196062564849854","2.1196062564849854","2.1196062564849854","2.1117634773254395","2.1117634773254395","2.1117634773254395"
"92","2.13969087600708","2.13969087600708","2.13969087600708","2.124373197555542","2.124373197555542","2.124373197555542","2.172912359237671","2.172912359237671","2.172912359237671","2.128922700881958","2.128922700881958","2.128922700881958"
"93","2.142402172088623","2.142402172088623","2.142402172088623","2.113832712173462","2.113832712173462","2.113832712173462","2.1232526302337646","2.1232526302337646","2.1232526302337646","2.13278865814209","2.13278865814209","2.13278865814209"
"94","2.148930788040161","2.148930788040161","2.148930788040161","2.1204962730407715","2.1204962730407715","2.1204962730407715","2.1225452423095703","2.1225452423095703","2.1225452423095703","2.108553647994995","2.108553647994995","2.108553647994995"
"95","2.1320583820343018","2.1320583820343018","2.1320583820343018","2.132540464401245","2.132540464401245","2.132540464401245","2.1069509983062744","2.1069509983062744","2.1069509983062744","2.1224350929260254","2.1224350929260254","2.1224350929260254"
"96","2.1316182613372803","2.1316182613372803","2.1316182613372803","2.1494405269622803","2.1494405269622803","2.1494405269622803","2.1370222568511963","2.1370222568511963","2.1370222568511963","2.1489009857177734","2.1489009857177734","2.1489009857177734"
"97","2.156053304672241","2.156053304672241","2.156053304672241","2.102186679840088","2.102186679840088","2.102186679840088","2.106994390487671","2.106994390487671","2.106994390487671","2.123189926147461","2.123189926147461","2.123189926147461"
"98","2.1484880447387695","2.1484880447387695","2.1484880447387695","2.093118667602539","2.093118667602539","2.093118667602539","2.1150338649749756","2.1150338649749756","2.1150338649749756","2.1195743083953857","2.1195743083953857","2.1195743083953857"
"99","2.1451923847198486","2.1451923847198486","2.1451923847198486","2.088653564453125","2.088653564453125","2.088653564453125","2.100118637084961","2.100118637084961","2.100118637084961","2.145426034927368","2.145426034927368","2.145426034927368"
"100","2.1377251148223877","2.1377251148223877","2.1377251148223877","2.1178417205810547","2.1178417205810547","2.1178417205810547","2.1162614822387695","2.1162614822387695","2.1162614822387695","2.174739122390747","2.174739122390747","2.174739122390747"
"101","","","","2.1189820766448975","2.1189820766448975","2.1189820766448975","2.109966516494751","2.109966516494751","2.109966516494751","2.1142070293426514","2.1142070293426514","2.1142070293426514"
"102","","","","2.1052324771881104","2.1052324771881104","2.1052324771881104","2.11508846282959","2.11508846282959","2.11508846282959","2.1302733421325684","2.1302733421325684","2.1302733421325684"
"103","","","","2.0874433517456055","2.0874433517456055","2.0874433517456055","2.125201463699341","2.125201463699341","2.125201463699341","2.0833053588867188","2.0833053588867188","2.0833053588867188"
"104","","","","2.0833053588867188","2.0833053588867188","2.0833053588867188","2.119356393814087","2.119356393814087","2.119356393814087","2.0965733528137207","2.0965733528137207","2.0965733528137207"
"105","","","","2.0960326194763184","2.0960326194763184","2.0960326194763184","2.117784261703491","2.117784261703491","2.117784261703491","2.103102922439575","2.103102922439575","2.103102922439575"
"106","","","","2.0882928371429443","2.0882928371429443","2.0882928371429443","2.1736199855804443","2.1736199855804443","2.1736199855804443","2.13871169090271","2.13871169090271","2.13871169090271"
"107","","","","2.1033883094787598","2.1033883094787598","2.1033883094787598","2.101261854171753","2.101261854171753","2.101261854171753","2.0833053588867188","2.0833053588867188","2.0833053588867188"
"108","","","","2.0833053588867188","2.0833053588867188","2.0833053588867188","2.1312859058380127","2.1312859058380127","2.1312859058380127","2.0990817546844482","2.0990817546844482","2.0990817546844482"
